S.No.,State_UT,POPULATION,AREA,DENSITY (2021),DENSITY Scaling,AREA Scaling,Code
0,Uttar Pradesh,199812341,240928,828.0,8.23,70.69,UP
1,Maharashtra,112374333,307713,365.0,4.17,90.01,MH
2,Bihar,104099452,94163,1102.0,10.64,28.23,BR
3,West Bengal,91276115,88752,1029.0,10.0,26.67,WB
4,Madhya Pradesh,72626809,308245,236.0,3.04,90.17,MP
5,Tamil Nadu,72147030,130058,555.0,5.84,38.62,TN
6,Rajasthan,68548437,342239,201.0,2.74,100.0,RJ
7,Karnataka,61095297,191791,319.0,3.77,56.48,KA
8,Gujarat,60439692,196024,308.0,3.68,57.7,GJ
9,Andhra Pradesh,49577103,162968,303.0,3.63,48.14,AN
10,Odisha,41974218,155707,269.0,3.33,46.04,OD
11,Telangana,35003674,112077,312.0,3.71,33.41,TS
12,Kerala,33406061,38863,859.0,8.51,12.23,KL
13,Jharkhand,32988134,79714,414.0,4.6,24.05,JH
14,Assam,31205576,78438,397.0,4.46,23.68,AS
15,Punjab,27743338,50362,550.0,5.8,15.56,PB
16,Chhattisgarh,25545198,135191,189.0,2.63,40.1,CG
17,Haryana,25351462,44212,573.0,6.0,13.78,HR
18,Uttarakhand,10086292,53483,189.0,2.63,16.46,UP
19,Himachal Pradesh,6864602,55673,123.0,2.05,17.1,HP
20,Tripura,3673917,10486,350.0,4.04,4.02,TR
21,Meghalaya,2966889,22429,132.0,2.13,7.48,ML
22,Manipur,2570390,22327,122.0,2.04,7.45,MN
23,Nagaland,1978502,16579,119.0,2.02,5.79,NL
24,Goa,1458545,3702,394.0,4.43,2.06,GA
25,Arunachal Pradesh,1383727,83743,17.0,1.12,25.22,AR
26,Mizoram,1097206,21081,52.0,1.43,7.09,MZ
27,Sikkim,610577,7096,86.0,1.73,3.04,SK
28,Delhi,16787941,1484,11297.0,100.0,1.42,DL
29,Jammu and Kashmir,12267032,125535,98.0,1.83,37.31,JK
30,Puducherry,1247953,479,2598.0,23.75,1.13,PY
31,Chandigarh,1055450,114,9252.0,82.07,1.02,CH
32,Andaman and Nicobar Islands,380581,8249,46.0,1.38,3.38,AN
33,Dadra and Nagar Haveli Daman and Diu,586956,603,973.0,9.5,1.17,DNHDD
34,Ladakh,274000,96701,2.8,1.0,28.97,LA
35,Lakshadweep,64473,32,2013.0,18.62,1.0,LD
